License Plate,Transaction Type,Description,Value,Customer,Segment,Contract Duration
NQT-604,Purchase,Purchase of FIAT - ARGO DRIVE 1.0,-64061,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Rental,Rental of FIAT - ARGO DRIVE 1.0,2117,customer_1,mining,24
NQT-604,Sale,Sale of FIAT - ARGO DRIVE 1.0,28382,customer_1,mining,24
QSS-101,Purchase,Purchase of VW-GOL TREND 1.6 FLEX 4P,-34083,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
