id_customer,id_vehicle,desc_vehicle,purchase_value,selling_value,segment,contract_duration
customer_33,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,53620,engineering,8
customer_59,vehicle_8,GM-S10 CABINE SIMPLES,175555,123152,energy,29
customer_25,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,26254,other,14
customer_39,vehicle_7,HILUX CS DSL 4X4,262854,199660,agribusiness,16
customer_51,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,96047,mining,29
customer_3,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,23340,engineering,11
customer_26,vehicle_6,TOYOTA-HILUX CS 4X4,172298,117451,engineering,8
customer_15,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,43881,energy,36
customer_89,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,154677,agribusiness,14
customer_60,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,47405,other,15
customer_7,vehicle_8,GM-S10 CABINE SIMPLES,175555,124979,other,9
customer_14,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,102770,energy,25
customer_45,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,146729,energy,25
customer_32,vehicle_1,SAVEIRO CS RB MPI,82245,37074,mining,25
customer_98,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24552,energy,30
customer_79,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,120151,engineering,14
customer_47,vehicle_1,SAVEIRO CS RB MPI,82245,41969,mining,21
customer_42,vehicle_8,GM-S10 CABINE SIMPLES,175555,83753,mining,29
customer_30,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24305,agribusiness,16
customer_75,vehicle_8,GM-S10 CABINE SIMPLES,175555,134740,other,7
customer_57,vehicle_8,GM-S10 CABINE SIMPLES,175555,131431,energy,22
customer_56,vehicle_6,TOYOTA-HILUX CS 4X4,172298,80416,mining,17
customer_62,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,46467,engineering,6
customer_47,vehicle_1,SAVEIRO CS RB MPI,82245,36689,mining,19
customer_56,vehicle_1,SAVEIRO CS RB MPI,82245,43942,mining,36
customer_32,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,94361,mining,32
customer_42,vehicle_7,HILUX CS DSL 4X4,262854,123204,mining,23
customer_23,vehicle_1,SAVEIRO CS RB MPI,82245,44592,mining,31
customer_9,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,72137,mining,31
customer_28,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,61027,agribusiness,15
customer_36,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,49395,energy,35
